"Group.1" "Group.2" "CXQ_T_tpm" "GY_T_tpm" "HCM_T_tpm" "LGL_T_tpm" "MYP_T_tpm" "SMJ_T_tpm" "XB_T_tpm" "CXQ_N_tpm" "GY_N_tpm" "HCM_N_tpm" "LGL_N_tpm" "MYP_N_tpm" "SMJ_N_tpm" "XB_N_tpm"
"201" "ACER2" "ACER2" 0.94 1.53 4.08 1.68 1.98 2.56 0.73 0.73 2.19 3.37 1.35 1.4 1.86 0.09
"202" "ACER2P1" "ACER2P1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"203" "ACER3" "ACER3" 11.95 7.7 6.28 7.47 10.9 6.29 11.35 8.38 8.88 8.62 8.45 11.66 8.02 5.91
"204" "ACHE" "ACHE" 0.69 0.44 2.55 0.55 3.13 3.85 1.95 3.21 1.9 4.46 1.58 7.11 4.68 4.34
"205" "ACIN1" "ACIN1" 97.83 72.9 91.75 69.86 105.85 72.52 63.83 62.89 69.45 83.35 73.68 86.6 80.31 43.23
"206" "ACKR1" "ACKR1" 0.07 3.07 22.94 1.89 17.23 5.1 8.78 7.4 2.52 4.49 3.91 12.9 4.4 21.75
"207" "ACKR2" "ACKR2" 0.02 0.38 0.45 0.27 1.15 0.16 0.67 1.06 0.96 3.17 1.93 1.42 2.5 0.37
"208" "ACKR3" "ACKR3" 9.76 14.8 34.1 8.06 21.42 6.48 22.1 5.58 13.35 6.76 12.28 12.29 6.71 9.86
"209" "ACKR4" "ACKR4" 0.15 2.07 0.49 1.18 0.51 8.67 0.67 0.38 1.09 0.46 0.6 1.81 2.47 0.8
"210" "ACKR4P1" "ACKR4P1" 0.15 0 0.08 0 0.08 0 0 0 0 0 0 0 0 0
"211" "ACLY" "ACLY" 44.09 45.65 34.33 59.07 71.34 45.79 48.79 23.03 24.41 21.13 25.79 35.16 29.32 17.22
"212" "ACMSD" "ACMSD" 0 0.07 0 0.19 0 1 0.1 0 0 0.07 0.1 0.03 0.03 0
"213" "ACNATP" "ACNATP" 0 0 0.07 0 0 0 0 0 0 0 0 0 0 0
"214" "ACO1" "ACO1" 20.27 28.79 22.6 30.05 21.23 27.07 20.89 17.02 20.1 11.3 16.9 24.83 17.96 12.57
"215" "ACO2" "ACO2" 50.49 55.3 32.92 66.41 48.72 38.45 83.31 86.13 66.12 74.69 85.13 71.77 84.55 61.17
"216" "ACOD1" "ACOD1" 0 0 0 0.03 0.77 0.16 0.03 0 0 0 0 0.53 0 0.07
"217" "ACOT1" "ACOT1" 2.28 2.75 3.37 2.44 2.19 1.03 1.54 4.79 3.46 4.51 3.24 3.39 3.3 5.19
"218" "ACOT11" "ACOT11" 12.5 7.95 6.63 13.69 7.51 1.68 13.45 16.04 10.97 17.3 18.13 10.16 14.41 11.18
"219" "ACOT12" "ACOT12" 0 0 0.15 0 0 0 0 0.1 0.03 0 0 0 0 0
"220" "ACOT13" "ACOT13" 23.33 15.35 23.35 16.67 9.93 8.6 8.88 23.34 20.44 23.3 19.71 11.48 20.04 15.61
"221" "ACOT2" "ACOT2" 6.72 5.31 8.91 10.49 8.29 3.36 11.97 12.89 7.12 7.89 10.16 10.58 9.61 10.03
"222" "ACOT4" "ACOT4" 0.54 0.57 0.35 1.3 0.34 1.24 1.73 1.33 1.76 1.78 1.33 0.61 1.72 1.38
"223" "ACOT6" "ACOT6" 0 0 0 0 0.08 0 0 0.17 0 0 0 0 0 0
"224" "ACOT7" "ACOT7" 27.56 29.53 26.95 40.51 34.54 21.32 70.74 23.58 14.39 14.8 24.05 25.91 29.98 27.02
"225" "ACOT8" "ACOT8" 28.97 13.94 29.56 12.64 33.28 11.93 31.17 19.51 16.78 29.59 23.96 20.28 27.09 21.76
"226" "ACOT9" "ACOT9" 39.59 30.94 30.43 27.94 69.47 35.04 27.26 12.4 15.34 12.53 10.41 22.3 14.03 11.82
"227" "ACOX1" "ACOX1" 31.04 18.99 15.58 34.99 22.3 18.15 11.7 29.15 32.25 54.87 52.56 27.29 35.37 8.86
"228" "ACOX2" "ACOX2" 35.18 12.13 24.44 23.36 6.55 4.28 10.35 11.87 13.66 14.23 11.45 9.02 13.48 6.61
"229" "ACOX3" "ACOX3" 3.61 4.86 8.22 8.74 6.02 3.61 9.15 6.59 5.14 5.88 5.09 6.09 4.99 4.14
"230" "ACOXL" "ACOXL" 0.03 0.14 0.2 0.13 0.56 0.49 0.42 0.41 0.2 0.23 0.21 1.89 0.23 0.43
"231" "ACOXL-AS1" "ACOXL-AS1" 0.05 0.02 0.3 0.39 0.14 0.14 0 0.26 0.1 0.43 0.36 0.13 0.15 0.02
"232" "ACP1" "ACP1" 169.24 83.68 106.75 94.83 128.89 138.63 93.74 78.13 69.02 61.84 62.64 70.52 68.72 54.5
"233" "ACP2" "ACP2" 13.47 12.89 25.59 14.69 15.69 17.39 17.54 18.01 15.46 21.14 17.57 24.2 20.18 17.61
"234" "ACP3" "ACP3" 3.34 5.46 2.01 11.7 1.58 2.57 8.98 7.23 2.74 2.22 2.48 5.41 3.66 3.71
"235" "ACP4" "ACP4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"236" "ACP5" "ACP5" 13.64 38.27 48.03 18.08 65.73 50.82 60.06 44.83 13.02 33.94 23.35 26.99 55.62 44.91
"237" "ACP6" "ACP6" 13.79 15.19 18.53 20.68 8.72 27.24 7.82 11.96 5.98 6.62 7.48 4.9 5.84 10.67
"238" "ACP7" "ACP7" 0.02 0 0 0 0 0 0.11 0 0 0 0 0 0 0
"239" "ACR" "ACR" 0.17 0.06 0.31 0.72 0.4 0 0.04 0.19 0 0 0.05 0.05 0.05 0
"240" "ACRBP" "ACRBP" 1.35 0.99 1.5 2.13 2.23 1.03 1.01 1.15 0.77 2.04 0.92 2.11 1.97 1.25
"241" "ACRP1" "ACRP1" 2.55 0.24 0.6 0.42 1.01 0 0.48 0.91 0 0.39 0.38 0.83 0.5 0.3
"242" "ACRV1" "ACRV1" 0.29 0 0 0.04 0.04 0.04 0 0.03 0 0 0 0.03 0.11 0
"243" "ACSBG1" "ACSBG1" 0.15 0.08 0.77 0 0.09 0.12 0.12 0.47 0.24 0.17 0.14 0.73 0.23 0.05
"244" "ACSBG2" "ACSBG2" 0.38 0.2 0.58 0 0.35 0 0.04 0.03 0 0 0.13 0 0 0
"245" "ACSF2" "ACSF2" 9.47 12.41 28.76 20.61 26.99 11.86 10.42 41.31 43.07 65.08 59.49 23.1 48.97 19.48
"246" "ACSF3" "ACSF3" 19.31 10.93 20.29 30.77 8.09 13.53 16.36 14.68 17.46 13.01 17.02 7.77 15.26 4.82
"247" "ACSL1" "ACSL1" 12.04 20.71 17.33 26.02 198.92 98.52 14.1 8.26 6.21 6.84 8.04 16.62 10.37 3.91
"248" "ACSL3" "ACSL3" 59.5 21.12 23.82 25.03 32.79 39.62 25.86 23.49 18.94 16.51 14.65 23.76 20.6 15.09
"249" "ACSL3-AS1" "ACSL3-AS1" 0 0 0 0 0 0 0 0 0.27 0 0 0.26 0.17 0.16
"250" "ACSL4" "ACSL4" 16.48 22.8 17.3 10.87 37.66 46.71 11.32 4.69 8.69 6.17 5.6 15.85 8.63 4.79
"251" "ACSL5" "ACSL5" 148.35 84.45 201.98 258.6 145.35 120.3 98.18 130.18 130.72 156.53 140.29 128.03 151.31 85.92
"252" "ACSL6" "ACSL6" 1.27 0.57 52.5 32.6 14.6 0.08 0.11 0.56 0.34 0.54 0.73 0.77 0.5 0.17
"253" "ACSL6-AS1" "ACSL6-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"254" "ACSM1" "ACSM1" 0.22 1.97 0.21 1.96 0.17 0.66 0.93 2.81 1.81 2.04 2.12 2.86 3.19 3.88
"255" "ACSM2A" "ACSM2A" 0.11 0 0.05 0 0 0 0 0 0 0.1 0 0.05 0 0
"256" "ACSM2B" "ACSM2B" 0 0.05 0.13 0 0 0 0 0.02 0.07 0.05 0 0.08 0.04 0
"257" "ACSM3" "ACSM3" 21.7 16.26 14.6 14.84 4.83 78.06 4.38 35.69 20.23 15.44 18.73 22.23 24.64 18.79
"258" "ACSM4" "ACSM4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"259" "ACSM5" "ACSM5" 0 0.12 0.69 0.19 0.14 0.34 0.24 0.52 0.69 0.4 0.8 1.05 0.76 0.51
"260" "ACSM5P1" "ACSM5P1" 0 0 0 0 0 0 0 0 0 0 0 0.03 0 0
"261" "ACSM6" "ACSM6" 0 0 0 0.15 0 0 0 0 0 0 0 0.03 0 0
"262" "ACSS1" "ACSS1" 12.35 17.88 12.09 11.73 67.59 11.06 23.73 12.41 11.8 15.33 13.8 15.77 18 11.8
"263" "ACSS2" "ACSS2" 54.54 43.33 72.72 57.57 59.56 44.64 55.01 104.63 133.17 143.01 135.07 88.71 131.2 80.31
"264" "ACSS3" "ACSS3" 0.76 0.79 1.64 2.28 0.77 0.78 0.37 0.67 0.84 0.37 1.82 1.34 0.32 0.37
"265" "ACTA1" "ACTA1" 0 0 0.27 0 0.05 0 0 0 0 0 0.05 0.05 0 0
"266" "ACTA2" "ACTA2" 302.51 438.09 736.64 232.77 368.84 190.5 335.44 285.27 491.48 127.83 152.47 519.18 116.36 270.68
"267" "ACTA2-AS1" "ACTA2-AS1" 2.68 1.64 5.11 1.25 2.7 1.65 1.44 4.91 2.46 3.44 4.42 8.57 0.8 2.31
"268" "ACTB" "ACTB" 2454.21 2907.04 3397.02 2707.21 3288.54 2509.66 4383.34 1906.43 1392.73 1813.49 1624.32 2506.49 1937.11 2537.19
"269" "ACTBL2" "ACTBL2" 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0
"270" "ACTBP1" "ACTBP1" 0.07 0.62 0 0.07 0.07 0.07 0.06 0 0 0 0 0 0.07 0
"271" "ACTBP11" "ACTBP11" 0 0 0.07 0.14 0.07 0 0.36 0 0 0 0.06 0 0.07 0
"272" "ACTBP12" "ACTBP12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"273" "ACTBP14" "ACTBP14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"274" "ACTBP15" "ACTBP15" 0 0 0 0 0 0 0 0 0 0.07 0 0 0.07 0
"275" "ACTBP2" "ACTBP2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"276" "ACTBP4" "ACTBP4" 0 0.07 0.31 0 0 0 0.06 0 0 0.07 0 0 0.07 0
"277" "ACTBP6" "ACTBP6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"278" "ACTBP7" "ACTBP7" 0 0.07 0 0.22 0.07 0.27 0 0 0 0 0 0 0 0
"279" "ACTBP8" "ACTBP8" 0 0.35 0 0 0 0 0 0 0 0 0 0 0 0
"280" "ACTBP9" "ACTBP9" 0 0 0 0 0 0 0 0 0.27 0.27 0.33 0.14 0.13 0
"281" "ACTC1" "ACTC1" 0.59 0.44 2.8 1.77 1.65 0.58 0.69 0.05 0 0 0.18 0.5 0 0.21
"282" "ACTE1P" "ACTE1P" 0 0 0.07 0.03 0.06 0.03 0.07 0.03 0 0 0.09 0.09 0 0.02
"283" "ACTG1" "ACTG1" 1194.6 1766.46 864.98 1903.22 1613.11 1263.1 2288.67 1203.22 723.17 829.58 1006.73 1215.07 1193.33 1183.82
"284" "ACTG1P1" "ACTG1P1" 0.21 0.14 0.58 0 0.36 0 0 0.36 0.19 0.32 0.06 0.33 0.58 0
"285" "ACTG1P10" "ACTG1P10" 0.23 0.14 0.51 0 0.16 0.18 0.44 0 0.2 0.21 0.02 0.64 0.62 0
"286" "ACTG1P11" "ACTG1P11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"287" "ACTG1P12" "ACTG1P12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"288" "ACTG1P13" "ACTG1P13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"289" "ACTG1P14" "ACTG1P14" 0 0 0 0 0 0 0.18 0.06 0.13 0.2 0 0.33 0 0
"290" "ACTG1P15" "ACTG1P15" 0.15 0.07 0 0 0 0 0 0.06 0.14 0 0 0.14 0 0
"291" "ACTG1P16" "ACTG1P16" 0 0 0 0 0 0 0 0 0 0 0.07 0 0 0
"292" "ACTG1P17" "ACTG1P17" 0 0.17 0.76 0.06 0.13 0 0.66 0.72 0.3 1.07 0.33 0.67 0 0.83
"293" "ACTG1P18" "ACTG1P18" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"294" "ACTG1P19" "ACTG1P19" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"295" "ACTG1P2" "ACTG1P2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"296" "ACTG1P20" "ACTG1P20" 0.28 0.91 0.87 0.29 1.25 0 1.33 0 1.19 0.54 0.8 0.98 0.54 0
"297" "ACTG1P21" "ACTG1P21" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"298" "ACTG1P22" "ACTG1P22" 0 0.18 0.07 0.17 0.09 0.64 0.3 0 0.25 0.17 0.45 0.06 0.13 0.05
"299" "ACTG1P23" "ACTG1P23" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"300" "ACTG1P24" "ACTG1P24" 0 0.19 0 0 0.1 0.1 0 0.25 0 0.09 0.09 0.09 0 0.07
"301" "ACTG1P25" "ACTG1P25" 1.69 0 1.93 0.27 1.28 0.91 0.35 0.2 0.08 0.41 0.3 0.11 0.32 0.06
"302" "ACTG1P3" "ACTG1P3" 0.35 0.48 0.52 0.29 0.44 0.07 0.12 0.24 0.59 0.13 0.59 1.01 0.79 0
"303" "ACTG1P4" "ACTG1P4" 0 0 0.31 0 0.08 0 0 0 0 0 0.03 0 0 0
"304" "ACTG1P9" "ACTG1P9" 0 0 0.03 0 0 0 0 0 0 0 0 0 0 0
"305" "ACTG2" "ACTG2" 61.65 33.02 690.76 38.75 112.53 23.07 73.1 101.5 143.89 39.56 43.22 1128.71 34.75 80.25
"306" "ACTL10" "ACTL10" 0.5 0.27 0.52 0.61 0.28 0.4 1.43 0.08 0.08 0.21 0.04 0.21 0.13 0.07
"307" "ACTL11P" "ACTL11P" 0.03 0.08 0.05 0.03 0.02 0.03 0 0 0 0 0 0.01 0.02 0
"308" "ACTL6A" "ACTL6A" 92.99 64.9 76.53 98.11 54.74 62.7 99.7 35.51 36.23 25.4 39.78 49.13 32.31 22.09
"309" "ACTL6B" "ACTL6B" 0 0 0.1 0 0 0 0 0.08 0 0 0 0.08 0 0.06
"310" "ACTL7A" "ACTL7A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"311" "ACTL7B" "ACTL7B" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"312" "ACTL8" "ACTL8" 0.21 0.08 0.41 0.12 0.04 2.28 4.03 0.15 0 0.26 0.04 0.08 0.2 0.44
"313" "ACTL9" "ACTL9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"314" "ACTN1" "ACTN1" 117.21 115.22 128.67 152.78 152.19 92.3 101.81 36.03 40.35 20.94 38.58 94.11 32.78 29.09
"315" "ACTN1-DT" "ACTN1-DT" 0.26 0 0 0.27 0 0 0.16 0 0 0 0 0 0 0
"316" "ACTN2" "ACTN2" 0.03 0.03 0.06 0 0.31 0 0.05 0.07 0.05 0 0.04 0.03 0.03 0
"317" "ACTN3" "ACTN3" 0 0 0 0 0 0 0 0.02 0 0 0.05 0 0 0.02
"318" "ACTN4" "ACTN4" 164.04 183.81 193.58 213.69 131.84 95.65 234.36 102.75 111.78 135.24 147.87 141.82 128.84 78.74
"319" "ACTN4P1" "ACTN4P1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"320" "ACTN4P2" "ACTN4P2" 0 0 0 0 0 0 0 0.03 0 0 0 0 0 0
"321" "ACTP1" "ACTP1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"322" "ACTR10" "ACTR10" 29.24 44.71 41.06 35.35 25.91 51.61 27.99 52.31 50.27 47.68 38.77 40.18 56.87 49.3
"323" "ACTR1A" "ACTR1A" 37.51 32.17 43.29 58.49 46.64 45.98 49.39 40.27 38.34 38.56 38.65 47.55 45.02 38.24
"324" "ACTR1AP1" "ACTR1AP1" 0 0 0 0 0 0 0.06 0.18 0 0 0 0 0 0
"325" "ACTR1B" "ACTR1B" 36.43 28.57 24.66 25.29 29.06 17.66 33.74 23.56 18.69 21.21 21.44 25.01 28.37 19.52
"326" "ACTR2" "ACTR2" 172.41 161.04 114.09 153.42 144.4 152.36 100.54 85.82 109.33 102.78 100.2 130.87 116.18 56.03
"327" "ACTR3" "ACTR3" 184.37 121.2 124.94 186.22 196.89 148.41 105.02 87.95 93.29 86.38 95.01 142.18 106.46 67.33
"328" "ACTR3-AS1" "ACTR3-AS1" 0.44 0.09 0.19 0.38 0.29 0.18 0.85 0.77 0.36 1.63 0.52 0.09 0.26 0.07
"329" "ACTR3B" "ACTR3B" 5.4 4.76 4.86 4.46 9.72 7.7 7.26 1.96 2.36 2.29 2.24 2.73 1.61 2.13
"330" "ACTR3BP1" "ACTR3BP1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"331" "ACTR3BP2" "ACTR3BP2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"332" "ACTR3BP3" "ACTR3BP3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"333" "ACTR3BP4" "ACTR3BP4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"334" "ACTR3BP5" "ACTR3BP5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"335" "ACTR3BP6" "ACTR3BP6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"336" "ACTR3BP7" "ACTR3BP7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"337" "ACTR3C" "ACTR3C" 4.21 3.09 5.54 2.96 9.15 3.32 2.73 3.63 2.4 2.81 2.05 3.16 4.89 2.42
"338" "ACTR3P2" "ACTR3P2" 0.12 0.06 0.38 0.25 0.12 0.12 0.05 0.05 0 0.11 0.06 0.17 0.06 0.13
"339" "ACTR3P3" "ACTR3P3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"340" "ACTR5" "ACTR5" 5.55 4.25 7.28 4.81 7.77 4.34 5.33 3.55 2.67 2.62 2.62 3.96 2.88 2.85
"341" "ACTR6" "ACTR6" 15.4 16.43 17.67 13.29 14.95 23.06 6.13 15.46 10.51 11.06 9.18 15.1 13.5 6.47
"342" "ACTR6P1" "ACTR6P1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"343" "ACTR8" "ACTR8" 21.3 11.48 20.54 13.96 13.16 13.53 11.87 9.36 10.48 10.4 9.31 9.36 12.34 7.22
"344" "ACTRT1" "ACTRT1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"345" "ACTRT1P1" "ACTRT1P1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"346" "ACTRT2" "ACTRT2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"347" "ACTRT3" "ACTRT3" 1.97 1.29 2.95 0.66 1.57 2.4 1.59 0.96 0.74 0.4 0.59 0.87 0.72 0.44
"348" "ACVR1" "ACVR1" 20.55 15.13 20.28 14.14 18.53 16.86 13.41 8.85 10.16 7.45 8.2 12.87 9.16 6.78
"349" "ACVR1B" "ACVR1B" 34.91 15.87 14.79 25.18 18.27 11.83 19.06 26.44 20.16 33.48 22.63 21.08 25.36 11.68
"350" "ACVR1C" "ACVR1C" 1.89 0.79 2.39 1.31 0.66 0.35 0.75 1.61 3.22 1.41 2.8 2.2 1.58 0.41
"351" "ACVR2A" "ACVR2A" 6.45 3.45 9.45 5.77 5.61 3.05 2.45 3.53 6.46 6.28 4.98 6.4 6.25 1.98
"352" "ACVR2B" "ACVR2B" 3.05 0.85 1.98 0.98 1.71 1.19 0.59 0.51 0.81 0.73 0.62 1 0.84 0.28
"353" "ACVR2B-AS1" "ACVR2B-AS1" 0.59 0.21 0.76 0.19 0.41 0.71 0.22 0.35 0.22 0.22 0.17 0.1 0.32 0.14
"354" "ACVRL1" "ACVRL1" 8.77 15.01 8.82 14.45 13.94 6.93 26.78 39.51 20.95 38.66 26.77 37.5 35.76 54.94
"355" "ACY1" "ACY1" 39.26 72.5 51.11 53.36 26.59 33.05 48.33 45.4 31.35 51.8 49.47 24.43 52.66 32.53
"356" "ACY3" "ACY3" 3.48 3.87 1.42 2.35 0.54 2.09 6.06 2.31 1.62 1.62 1 1.17 2.48 4.45
"357" "ACYP1" "ACYP1" 20.97 19.38 19.65 18.69 14.57 16.59 17.86 13.3 16.02 10.13 14.67 15.5 14.11 7.67
"358" "ACYP2" "ACYP2" 7.01 5.17 7.49 7.48 3.55 2.04 6.12 5.27 5.09 4.07 5.05 3.92 3.85 4.38
"359" "ADA" "ADA" 3.18 7.55 9.63 6.32 11.05 12.14 6.93 2.7 4.31 4.03 1.98 4.66 5.32 5.14
"360" "ADA2" "ADA2" 3.31 9.12 19.13 5.66 15.18 20.78 17.68 18.69 23.07 17.4 20.57 28.3 27.18 25.05
"361" "ADAD1" "ADAD1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"362" "ADAD1P2" "ADAD1P2" 0 0 0 0 0 0 0 0 0 0.15 0 0 0 0
"363" "ADAD2" "ADAD2" 0 0 0 0 0 0 0.35 0.02 0 0.12 0 0 0 0
"364" "ADAL" "ADAL" 0.92 2.11 2.63 1.2 3.55 1.68 0.95 1.6 2.39 0.93 1.53 5.6 1.35 1.44
"365" "ADAM10" "ADAM10" 45.4 38.93 46.4 44.13 69.27 44.44 40.97 25.86 35.76 38.15 36.69 50.32 44.46 7.11
"366" "ADAM11" "ADAM11" 0.03 0.01 0.19 0 0.34 0.06 0.12 0.12 0.03 0.01 0.03 0.16 0.03 0.02
"367" "ADAM12" "ADAM12" 2.74 3.46 6.71 4.06 10.58 6.78 4.26 0.08 0.22 0.19 0.05 0.28 0.09 0.12
"368" "ADAM15" "ADAM15" 34.79 49.04 21.9 35.17 39.27 30.39 107.7 27.93 16.66 21.63 21.29 33.61 26.62 31.45
"369" "ADAM17" "ADAM17" 18.28 12.4 11.42 9.99 22.71 10.47 11.98 4.84 6.89 6.91 5.86 10.22 7.25 2.05
"370" "ADAM18" "ADAM18" 0 0 0.27 0 0 0 0 0 0 0 0 0 0 0
"371" "ADAM19" "ADAM19" 6.87 8.19 10.04 11.35 13.9 11.95 8.32 2.63 4.59 3.93 2.96 9.81 4.71 3.57
"372" "ADAM1A" "ADAM1A" 1.67 0 0.94 0 0.38 0 0 0.21 1.41 0.83 0.85 1.43 1.22 0.11
"373" "ADAM1B" "ADAM1B" 0 0.23 0 0.11 0.04 0 0 0.12 0.09 0.03 0.03 0.13 0.06 0.05
"374" "ADAM2" "ADAM2" 0 0.24 0 0 0 0 0 0 0 0 0 0.03 0 0
"375" "ADAM20" "ADAM20" 0 0.05 0 0 0.02 0 0.04 0 0.02 0.02 0 0 0.02 0
"376" "ADAM20P1" "ADAM20P1" 0.06 0.015 0.19 0.045 0.03 0.015 0.035 0.01 0.04 0.07 0.015 0.015 0.045 0
"377" "ADAM20P2" "ADAM20P2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"378" "ADAM20P3" "ADAM20P3" 0.07 0 0.34 0.03 0 0 0 0 0 0 0 0 0 0
"379" "ADAM21" "ADAM21" 0.04 0.02 0 0.02 0.08 0.1 0.02 0.07 0.04 0.02 0.04 0.04 0 0.02
"380" "ADAM21P1" "ADAM21P1" 0 0 0 0 0 0.03 0 0 0 0 0 0.03 0 0
"381" "ADAM22" "ADAM22" 0.42 0.56 1.95 0.28 1.59 0.78 0.22 0.76 1.3 2.05 1.53 1.26 1.18 0.4
"382" "ADAM23" "ADAM23" 1.65 0.52 2.67 1.39 1.44 1.81 1.4 0.48 2.1 0.93 0.65 1.14 0.48 0.64
"383" "ADAM24P" "ADAM24P" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"384" "ADAM28" "ADAM28" 3.1 9.87 8.3 3.79 5.24 5.85 5.52 18.03 28.64 12.53 13.19 17.89 11.75 9.66
"385" "ADAM29" "ADAM29" 0 0 0 0 0.05 0 0 0 0.05 0 0.04 0.02 0 0
"386" "ADAM30" "ADAM30" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"387" "ADAM32" "ADAM32" 5.99 1.07 7.24 1.8 0.72 0.17 2.25 0.76 1.98 0.8 0.83 0.58 0.8 0.79
"388" "ADAM33" "ADAM33" 0.56 0.61 5.48 0.71 0.57 0.69 3.1 3.15 2.15 2.44 1.35 5.03 1.19 1.65
"389" "ADAM3A" "ADAM3A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"390" "ADAM3B" "ADAM3B" 0 0 0.22 0 0 0 0 0.09 0 0 0 0 0 0
"391" "ADAM5" "ADAM5" 0 0 0.16 0 0 0 0 0 0 0 0 0 0 0
"392" "ADAM6" "ADAM6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"393" "ADAM7" "ADAM7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"394" "ADAM7-AS1" "ADAM7-AS1" 0 0.12 0.39 0.2 0 0.12 0.33 0 0.27 0.35 0.62 0.75 0 0.24
"395" "ADAM7-AS2" "ADAM7-AS2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"396" "ADAM8" "ADAM8" 1.12 2.24 5.1 4.84 34.94 17.62 6.55 0.87 1.81 0.97 1.91 2.07 4.39 1.58
"397" "ADAM9" "ADAM9" 57.82 91.06 69.19 63.04 60.33 50.75 52.21 38.52 43.63 30.3 21.37 51.05 31.4 18.97
"398" "ADAMDEC1" "ADAMDEC1" 14.08 131.25 17.7 33.57 14.88 20.1 45.48 249.66 527.62 252 338.86 217.61 146.61 102.18
"399" "ADAMTS1" "ADAMTS1" 5.96 7.64 18.37 6.97 17.41 4.98 16.29 21.07 15.85 11.39 18.49 32.81 8.34 7.95
"400" "ADAMTS10" "ADAMTS10" 0.89 1.42 2.08 1.29 3.84 2.53 3.51 1.1 2.17 1.03 1.79 2.57 0.52 0.96
"401" "ADAMTS12" "ADAMTS12" 4.81 13.05 7.55 7.07 7.29 5.61 7.73 0.32 0.32 0.33 0.26 0.26 0.15 0.12
"402" "ADAMTS13" "ADAMTS13" 0.17 0.37 0.61 0.14 0.63 0.76 0.53 0.68 1.24 0.92 0.83 0.53 0.29 0.23
"403" "ADAMTS14" "ADAMTS14" 1.24 2.43 2.02 0.93 2.44 1.32 3.36 0.64 0.68 1.38 0.91 1.18 0.65 0.6
"404" "ADAMTS15" "ADAMTS15" 0.14 3.83 1.08 2.04 0.34 2.61 5.36 1.35 0.91 0.7 1.04 1.61 1.82 1.46
"405" "ADAMTS16" "ADAMTS16" 0.14 0.9 0.94 0.35 0.32 0.37 0.42 0.19 0.17 0.07 0.13 0.2 0.04 0.01
"406" "ADAMTS16-DT" "ADAMTS16-DT" 0.01 0.09 0.03 0 0.01 0 0.11 0.05 0.02 0.01 0.02 0.02 0.04 0
"407" "ADAMTS17" "ADAMTS17" 0.11 0.3 1.03 0.33 0.09 0.09 0.68 0.61 0.99 0.84 0.46 0.58 0.83 0.56
"408" "ADAMTS18" "ADAMTS18" 0.02 0.1 0.14 0.11 0.03 0.17 0.23 0.02 0.16 0 0 0 0.04 0.02
"409" "ADAMTS19" "ADAMTS19" 0.12 0 0.37 0.01 0 0 0.01 0.11 0.28 0.12 0.24 0.28 0.01 0.03
"410" "ADAMTS19-AS1" "ADAMTS19-AS1" 0 0 0.02 0 0 0 0 0 0 0 0 0.11 0 0
"411" "ADAMTS2" "ADAMTS2" 4.59 15.83 7.59 8.78 15.69 10.82 21.85 0.97 1.99 0.59 1.01 1.29 0.42 1.12
"412" "ADAMTS20" "ADAMTS20" 0 0.09 1 0 0.08 0 0 0.1 0 0 0 0 0 0
